vote_event_id,voter_id,option,group_id
51-693.TX,51-500,yes,ppb
51-693.TX,51-603,yes,pt
51-693.TX,51-341,no,ptb
51-693.TX,51-422,no,pmdb
51-693.TX,51-454,yes,psdb
51-693.TX,51-170,yes,ptb
51-693.TX,51-42,yes,ppb
51-693.TX,51-207,yes,pfl
51-693.TX,51-151,yes,psdb
51-693.TX,51-298,yes,psdb
51-693.TX,51-313,yes,pt
51-693.TX,51-371,no,psb
51-693.TX,51-435,yes,pmdb
51-693.TX,51-376,no,pmdb
51-693.TX,51-110,yes,pmdb
51-693.TX,51-99,yes,pmdb
51-693.TX,51-55,no,pps
51-693.TX,51-461,yes,ptb
51-693.TX,51-247,yes,ppb
51-693.TX,51-56,yes,pt
51-693.TX,51-524,no,pmdb
51-693.TX,51-501,yes,pt
51-693.TX,51-244,yes,pt
51-693.TX,51-567,yes,pl
51-693.TX,51-250,yes,pst
51-693.TX,51-210,yes,ppb
51-693.TX,51-436,yes,psdb
51-693.TX,51-600,yes,pmdb
51-693.TX,51-559,yes,pmdb
51-693.TX,51-252,yes,pmdb
51-693.TX,51-281,no,ptb
51-693.TX,51-373,yes,pl
51-693.TX,51-504,yes,pmdb
51-693.TX,51-552,yes,psdb
51-693.TX,51-586,yes,pfl
51-693.TX,51-374,yes,pmdb
51-693.TX,51-316,yes,pt
51-693.TX,51-318,no,psb
51-693.TX,51-317,yes,pdt
51-693.TX,51-462,yes,pmdb
51-693.TX,51-377,yes,pfl
51-693.TX,51-101,yes,pfl
51-693.TX,51-402,yes,ptb
51-693.TX,51-117,yes,pfl
51-693.TX,51-24,yes,pmdb
51-693.TX,51-248,yes,psdb
